,image,label,is_train
0,./data/3/3020010613481400.tif,3,True
1,./data/3/2020011011263300.tif,3,True
2,./data/3/2020010809291108.tif,3,True
3,./data/3/3020010316195800.tif,3,True
4,./data/3/3020010814212401.tif,3,True
5,./data/3/302001061508140a.tif,3,True
6,./data/3/3020010713264801.tif,3,True
7,./data/3/2020010310411106.tif,3,True
8,./data/3/3020010311362903.tif,3,True
9,./data/3/3020010614293803.tif,3,True
10,./data/3/2020010815065200.tif,3,False
11,./data/3/3020010612571004.tif,3,False
12,./data/3/3020011314010506.jpg,3,True
13,./data/3/2020010811164000.tif,3,True
14,./data/3/2020010310323703.tif,3,True
15,./data/3/2020010612535401.tif,3,True
16,./data/3/3020010614373702.tif,3,False
17,./data/3/2020010617072403.tif,3,True
18,./data/3/2020010308414000.jpg,3,True
19,./data/3/3020010316055204.tif,3,True
20,./data/3/3020010610440003.tif,3,True
21,./data/3/3020010710503001.tif,3,True
22,./data/3/3020010612251302.tif,3,True
23,./data/3/3020010815484506.tif,3,True
24,./data/3/3020010216411007.tif,3,False
25,./data/3/2020010911003105.jpg,3,True
26,./data/3/3020010311034302.tif,3,True
27,./data/3/2020011017291103.jpg,3,True
28,./data/3/2020010816313505.tif,3,True
29,./data/3/3020010315530204.tif,3,True
30,./data/3/3020010915525201.tif,3,True
31,./data/3/202001021519120c.tif,3,True
32,./data/3/2020010311291703.tif,3,True
33,./data/3/2020010617092305.tif,3,True
34,./data/3/3020010215161602.jpg,3,True
35,./data/3/3020010708450803.jpg,3,False
36,./data/3/3020012015354600.jpg,3,True
37,./data/3/2020010715525303.tif,3,True
38,./data/3/2020010314355400.tif,3,True
39,./data/3/2020010811384403.tif,3,True
40,./data/3/2020010611160403.tif,3,True
41,./data/3/2020010613474504.tif,3,True
42,./data/3/2020010810085004.tif,3,False
43,./data/3/302001161109180d.tif,3,False
44,./data/3/3020010611115000.tif,3,True
45,./data/3/2020010717512101.tif,3,True
46,./data/3/2020010214340902.tif,3,True
47,./data/3/2020010610354800.tif,3,True
48,./data/3/2020010913124504.tif,3,True
49,./data/3/3020010815290700.jpg,3,True
50,./data/3/3020010715351805.tif,3,True
51,./data/3/2020010521262900.jpg,3,True
52,./data/3/2020010615145703.tif,3,True
53,./data/3/2020010313010401.tif,3,True
54,./data/3/2020010317115100.tif,3,False
55,./data/3/2020010610553801.tif,3,True
56,./data/3/3020010708444400.jpg,3,True
57,./data/3/2020010914450703.tif,3,True
58,./data/3/202001061609080i.tif,3,True
59,./data/3/2020010310343502.tif,3,True
60,./data/3/2020010309164904.tif,3,True
61,./data/3/2020010915201602.tif,3,True
62,./data/3/2020011010371402.tif,3,True
63,./data/3/2020010914461806.tif,3,False
64,./data/3/2020010811250000.tif,3,True
65,./data/3/2020011010252301.tif,3,True
66,./data/3/2020010315055302.jpg,3,True
67,./data/3/2020010610234102.tif,3,True
68,./data/3/2020010911290702.tif,3,False
69,./data/3/2020010815384002.tif,3,True
70,./data/3/2020010917093705.tif,3,True
71,./data/3/3020010715512407.tif,3,True
72,./data/3/3020010814525100.tif,3,True
73,./data/3/2020010813434109.tif,3,True
74,./data/3/202001031706430d.tif,3,True
75,./data/3/2020010916273509.tif,3,False
76,./data/3/2020010813274100.jpg,3,True
77,./data/3/3020010217004404.tif,3,True
78,./data/3/3020010315073201.tif,3,True
79,./data/3/302001031159270a.tif,3,True
80,./data/3/3020012215560001.jpg,3,True
81,./data/3/2020010615090703.tif,3,True
82,./data/3/3020010613355902.tif,3,True
83,./data/3/3020010915524605.tif,3,False
84,./data/3/3020010715042704.tif,3,True
85,./data/3/3020010315404802.tif,3,True
86,./data/3/3020010912454902.tif,3,True
87,./data/3/2020010711305401.tif,3,True
88,./data/3/2020010915545500.tif,3,True
89,./data/3/3020010615565301.tif,3,True
90,./data/3/2020010913173903.tif,3,True
91,./data/3/2020010711563005.tif,3,True
92,./data/3/3020010615185601.tif,3,True
93,./data/3/2020010710433206.tif,3,True
94,./data/3/3020010810233502.tif,3,True
95,./data/3/3020010611253403.tif,3,True
96,./data/3/2020010814033205.tif,3,False
97,./data/3/2020010815011501.tif,3,True
98,./data/3/3020010717132402.tif,3,True
99,./data/3/2020010210403502.tif,3,True
100,./data/3/3020010313573306.tif,3,True
101,./data/3/2020010311290204.tif,3,True
102,./data/3/2020010916062503.tif,3,True
103,./data/3/3020011514384602.tif,3,True
104,./data/3/3020010316165403.tif,3,True
105,./data/3/2020010316432909.tif,3,True
106,./data/3/3020010314193900.tif,3,True
107,./data/3/3020010215203802.tif,3,True
108,./data/3/3020010912334202.tif,3,True
109,./data/3/2020010911394304.tif,3,True
110,./data/3/2020010317282800.tif,3,True
111,./data/3/2020010911290705.tif,3,True
112,./data/3/2020010613184705.tif,3,False
113,./data/3/202001091606370b.tif,3,True
114,./data/3/3020010913480006.tif,3,True
115,./data/3/2020010214472400.tif,3,False
116,./data/3/3020010811382808.tif,3,True
117,./data/3/2020010717430505.tif,3,True
118,./data/3/2020010815523806.tif,3,False
119,./data/3/2020010313592205.tif,3,True
120,./data/3/2020010914201306.tif,3,True
121,./data/3/2020010215075603.tif,3,True
122,./data/3/2020010210115202.tif,3,False
123,./data/3/3020010814434801.tif,3,True
124,./data/3/2020010616570204.tif,3,True
125,./data/3/3020011713395301.tif,3,True
126,./data/3/3020011011115402.tif,3,True
127,./data/3/3020010813231701.tif,3,True
128,./data/3/2020010818173000.tif,3,True
129,./data/3/3020010715474601.tif,3,True
130,./data/3/3020010316555808.tif,3,True
131,./data/3/2020010911220000.tif,3,True
132,./data/3/2020010715200305.tif,3,True
133,./data/3/2020010715213005.tif,3,False
134,./data/3/3020010716022504.tif,3,True
135,./data/3/2020010915411501.tif,3,True
136,./data/3/2020010909515106.tif,3,True
137,./data/3/3020011010541406.tif,3,True
138,./data/3/3020010916094504.jpg,3,True
139,./data/3/2020010809450204.tif,3,True
140,./data/3/2020010915411405.tif,3,True
141,./data/3/3020010915491704.tif,3,True
142,./data/3/3020010911545203.tif,3,True
143,./data/3/2020010311024706.tif,3,True
144,./data/3/3020010211404604.tif,3,True
145,./data/3/3020010611082902.tif,3,True
146,./data/3/2020010716393508.tif,3,True
147,./data/3/2020010311244004.tif,3,True
148,./data/3/3020010216180101.tif,3,True
149,./data/3/3020010715393602.tif,3,True
150,./data/3/3020010614362304.tif,3,True
151,./data/3/2020010912323900.tif,3,True
152,./data/3/2020010810023200.tif,3,True
153,./data/3/2020010613525102.tif,3,True
154,./data/3/2020010715192302.tif,3,True
155,./data/3/3020010213302805.tif,3,True
156,./data/3/2020010211251901.tif,3,True
157,./data/3/2020010814053201.tif,3,True
158,./data/3/2020010616501103.tif,3,True
159,./data/3/202001021558510c.tif,3,True
